community_id,display_label,n_authors,topic_label,log2_enrichment,topic_id
6,Mixed AI Art/ChatGPT,4098,News/Updates,-0.0647399096600392,7
5,"NFTs, AI Tokens & AI",3607,News/Updates,0.842918774455676,7
18,ChatGPT in Education,3281,News/Updates,1.2027389981631893,7
14,India-Linked ChatGPT/AI News,2834,News/Updates,0.0819382239655168,7
13,ChatGPT + Regional-Language Markers,2699,News/Updates,-0.373051627470754,7
15,AI-Art Criticism & Pop Culture,2005,News/Updates,-1.0723853571545092,7
11,Anime AI Art/Stable Diffusion,1245,News/Updates,-0.1362026602559992,7
17,Mixed ChatGPT Usage,1166,News/Updates,-0.232785579039679,7
24,Medical Imaging AI,1060,News/Updates,0.5862505663291896,7
28,Mixed AI/Creative Content,610,News/Updates,1.6679584004032255,7
1,General ChatGPT Discussion,44718,NFT/Crypto,-2.2892867204948995,8
0,Anti-AI-Art Discourse,41574,NFT/Crypto,-3.533252007445093,8
3,General ChatGPT Debate,17422,NFT/Crypto,-1.7899567145920918,8
8,AI-Art & NFT Posting,12679,NFT/Crypto,-0.3365732631817024,8
2,ChatGPT SEO/Content,10348,NFT/Crypto,-1.1498763024205465,8
12,"AI Tokens, Launchpads & AI",7502,NFT/Crypto,3.172930117193487,8
4,AI/Crypto Launchpads,7497,NFT/Crypto,2.1446633474346983,8
9,AI-Blockchain Promotion,7256,NFT/Crypto,2.4328779024420903,8
16,Data Science/ML Headlines,7132,NFT/Crypto,-1.2073727029279584,8
7,AI-Art Authenticity Disputes,5490,NFT/Crypto,-3.2643885735767726,8
10,ChatGPT & AI/Tech News,4542,NFT/Crypto,-1.805477484792929,8
6,Mixed AI Art/ChatGPT,4098,NFT/Crypto,-3.168516896782521,8
5,"NFTs, AI Tokens & AI",3607,NFT/Crypto,1.2177521998764065,8
18,ChatGPT in Education,3281,NFT/Crypto,-4.333479824260611,8
14,India-Linked ChatGPT/AI News,2834,NFT/Crypto,-2.2750532662289307,8
13,ChatGPT + Regional-Language Markers,2699,NFT/Crypto,-1.838265297551143,8
15,AI-Art Criticism & Pop Culture,2005,NFT/Crypto,-2.83403458983953,8
11,Anime AI Art/Stable Diffusion,1245,NFT/Crypto,-2.738647620326557,8
17,Mixed ChatGPT Usage,1166,NFT/Crypto,-1.693480538108897,8
24,Medical Imaging AI,1060,NFT/Crypto,-3.809735625963657,8
28,Mixed AI/Creative Content,610,NFT/Crypto,-2.889056670916438,8
1,General ChatGPT Discussion,44718,Web3/DeFi,-3.89995058792321,9
0,Anti-AI-Art Discourse,41574,Web3/DeFi,-4.87974611299637,9
3,General ChatGPT Debate,17422,Web3/DeFi,-3.74024594136344,9
8,AI-Art & NFT Posting,12679,Web3/DeFi,-1.8835577901080167,9
2,ChatGPT SEO/Content,10348,Web3/DeFi,-1.918882903285392,9
12,"AI Tokens, Launchpads & AI",7502,Web3/DeFi,2.052020742966285,9
4,AI/Crypto Launchpads,7497,Web3/DeFi,3.817741529299448,9
9,AI-Blockchain Promotion,7256,Web3/DeFi,1.8836919988861052,9
16,Data Science/ML Headlines,7132,Web3/DeFi,-2.2939909086803323,9
7,AI-Art Authenticity Disputes,5490,Web3/DeFi,-4.671806745184916,9
10,ChatGPT & AI/Tech News,4542,Web3/DeFi,-3.174713960175376,9
6,Mixed AI Art/ChatGPT,4098,Web3/DeFi,-4.2237322673823,9
5,"NFTs, AI Tokens & AI",3607,Web3/DeFi,1.3472455024422545,9
18,ChatGPT in Education,3281,Web3/DeFi,-2.690554081055017,9
14,India-Linked ChatGPT/AI News,2834,Web3/DeFi,-3.6343604012373945,9
13,ChatGPT + Regional-Language Markers,2699,Web3/DeFi,-2.3650227913822435,9
15,AI-Art Criticism & Pop Culture,2005,Web3/DeFi,-4.036841731745979,9
11,Anime AI Art/Stable Diffusion,1245,Web3/DeFi,-3.860710780469241,9
17,Mixed ChatGPT Usage,1166,Web3/DeFi,-3.129521995389596,9
24,Medical Imaging AI,1060,Web3/DeFi,-3.9046118192407295,9
28,Mixed AI/Creative Content,610,Web3/DeFi,-4.030786247769884,9
1,General ChatGPT Discussion,44718,General AI,0.6112324592774797,10
0,Anti-AI-Art Discourse,41574,General AI,-2.343078472408355,10
3,General ChatGPT Debate,17422,General AI,0.2044506638563729,10
8,AI-Art & NFT Posting,12679,General AI,-0.9211295400243968,10
2,ChatGPT SEO/Content,10348,General AI,0.117754915225075,10
12,"AI Tokens, Launchpads & AI",7502,General AI,-0.0014570746906506,10
4,AI/Crypto Launchpads,7497,General AI,-0.9544058503557252,10
9,AI-Blockchain Promotion,7256,General AI,0.1462963974790371,10
16,Data Science/ML Headlines,7132,General AI,1.1915976587224173,10
7,AI-Art Authenticity Disputes,5490,General AI,-1.5793820335279978,10
10,ChatGPT & AI/Tech News,4542,General AI,0.9541240373556302,10
6,Mixed AI Art/ChatGPT,4098,General AI,0.1656194931291998,10
5,"NFTs, AI Tokens & AI",3607,General AI,-0.7002371598841326,10
18,ChatGPT in Education,3281,General AI,1.1750114551442488,10
14,India-Linked ChatGPT/AI News,2834,General AI,0.7785337586209196,10
13,ChatGPT + Regional-Language Markers,2699,General AI,0.0933977411970366,10
15,AI-Art Criticism & Pop Culture,2005,General AI,-1.683552082460919,10
11,Anime AI Art/Stable Diffusion,1245,General AI,-2.729398330696976,10
17,Mixed ChatGPT Usage,1166,General AI,0.0006309701976647,10
24,Medical Imaging AI,1060,General AI,1.7320388685156207,10
28,Mixed AI/Creative Content,610,General AI,-0.3530486462311208,10
1,General ChatGPT Discussion,44718,Trading/Invest,-0.5294227056318217,11
0,Anti-AI-Art Discourse,41574,Trading/Invest,-1.7850233167763914,11
3,General ChatGPT Debate,17422,Trading/Invest,0.6662067272244974,11
8,AI-Art & NFT Posting,12679,Trading/Invest,-0.6215197924529522,11
2,ChatGPT SEO/Content,10348,Trading/Invest,0.2009911427194228,11
12,"AI Tokens, Launchpads & AI",7502,Trading/Invest,0.7622323507313978,11
4,AI/Crypto Launchpads,7497,Trading/Invest,0.2635350707443405,11
9,AI-Blockchain Promotion,7256,Trading/Invest,2.5067414999351105,11
16,Data Science/ML Headlines,7132,Trading/Invest,-0.0838675646137035,11
7,AI-Art Authenticity Disputes,5490,Trading/Invest,-1.4143946484517809,11
10,ChatGPT & AI/Tech News,4542,Trading/Invest,0.7984809004069818,11
6,Mixed AI Art/ChatGPT,4098,Trading/Invest,-0.5793398951280666,11
5,"NFTs, AI Tokens & AI",3607,Trading/Invest,0.7859981699891913,11
18,ChatGPT in Education,3281,Trading/Invest,-1.9621202726697364,11
14,India-Linked ChatGPT/AI News,2834,Trading/Invest,0.2113825591507822,11
13,ChatGPT + Regional-Language Markers,2699,Trading/Invest,-0.2909689543825349,11
15,AI-Art Criticism & Pop Culture,2005,Trading/Invest,-1.2041929003306948,11
11,Anime AI Art/Stable Diffusion,1245,Trading/Invest,-1.80809218121362,11
17,Mixed ChatGPT Usage,1166,Trading/Invest,-0.0706559287784387,11
24,Medical Imaging AI,1060,Trading/Invest,-1.389481221642234,11
28,Mixed AI/Creative Content,610,Trading/Invest,-1.2665924175816867,11
